diplom,nom_diplome,secteur_discipline_oraccle,secteur_discipline_sise
9020345,CERTIFICATS D'ECOLES EN FINANCES- BANQUE- ASSURANCES- IMMOBILIER- COMPTABILITE - BAC A BAC+3,45,39
9050348,DIPLOMES INTERNATIONAUX EN ACCUEIL- HOTELLERIE- TOURISME - BAC A BAC+3,48,39
R027060,DIRECTEUR(TRICE) D'ETABLISSEMENT DE LUXE DANS L'HOTELLERIE (MBA) (ACADEMIE INTERNATIONALE DE MANAGEMENT),48,39
9052348,DIPLOMES INTERNATIONAUX EN ACCUEIL- HOTELLERIE- TOURISME - BAC+2 A BAC+3,48,39
9020246,CERTIFICATS D'ECOLES EN RESSOURCES HUMAINES- GESTION DU PERSONNEL ET DE L'EMPLOI - BAC A BAC+2,46,39
R002326,CHARGE(E) DES RESSOURCES HUMAINES (SUP DES RH),46,39
R016258,MANAGER DU DEVELOPPEMENT COMMERCIAL ET INTERNATIONAL (PPA - RESEAU GES),44,39
R016261,MANAGER COMPTABLE ET FINANCIER (PPA - RESEAU GES),45,39
R015357,MANAGER DES RESSOURCES HUMAINES (PPA - RESEAU GES),46,39
R012378,RESPONSABLE COMPTABLE ET FINANCIER (PPA - RESEAU GES),46,39
R012380,CHARGE(E) DES RESSOURCES HUMAINES (PPA - RESEAU GES),46,39
9020344,CERTIFICATS D'ECOLES EN COMMERCE- VENTE - BAC A BAC+3,44,39
9022546,CERTIFICATS D'ECOLES EN RESSOURCES HUMAINES- GESTION DU PERSONNEL ET DE L'EMPLOI - BAC+2 A BAC+5,46,39
R021706,ASSISTANT RECRUTEMENT (CCI - ESMAE),46,39
R004826,MASTERE SPECIALISE CGE - MANAGER DES ACHATS INTERNATIONAUX (ESSEC),44,39
9075545,MASTERES SPECIALISES EN FINANCE- BANQUE- ASSURANCE- IMMOBILIER- COMPTABILITE - BAC+5,45,39
R014725,MASTERE SPECIALISE CGE - MANAGER DES AFFAIRES JURIDIQUES ET FINANCIERES INTERNATIONALES (ESSEC),45,39
R022996,RESPONSABLE EN MANAGEMENT OPERATIONNEL DES ACHATS (ESSEC),44,39
R024870,MASTERE SPECIALISE CGE - MANAGER MARKETING ET COMMERCIAL INTERNATIONAL (ESSEC),44,39
R024876,MASTERE SPECIALISE CGE - DIRECTEUR DES RESSOUCES HUMAINES (ESSEC),46,39
R022999,RESPONSABLE EN MANAGEMENT DES RESSOURCES HUMAINES (ESSEC),46,39
R022994,RESPONSABLE EN MARKETING ET DEVELOPPEMENT COMMERCIAL (ESSEC),44,39
R022993,RESPONSABLE EN MANAGEMENT DE LA SUPPLY CHAIN (ESSEC),47,39
R022998,RESPONSABLE EN CONTROLE DE GESTION ET GESTION FINANCIERE (ESSEC),45,39
R026823,MASTERE SPECIALISE CGE - MANAGER EN SERVICES ET INDUSTRIES DE SANTE (ESSEC),06,39
R013132,MANAGER EN HOTELLERIE INTERNATIONALE (ESSEC),48,39
R028775,MANAGER DU DEVELOPPEMENT DURABLE (MBA-MSC) (EXCELIA GROUP),16,38
2201007,DROIT- ECONOMIE- GESTION : MANAGEMENT DE LA CULTURE:ARTS ET PATRIMOINE,62,39
2101837,SCIENCES- TECHNOLOGIES- SANTE : PHYSIQUE- SCIENCES POUR L'INGENIEUR,02,15
2212942,DROIT- ECONOMIE- GESTION : MANAGEMENT DE LA CULTURE:ARTS ET PATRIMOINE,62,39
2003790,MANAGEMENT DES ORGANISATIONS,39,40
2005908,LOGISTIQUE,35,14
2003612,MANAGEMENT DES ORGANISATIONS,06,40
5001000,PREMIERE ANNEE COMMUNE AUX ETUDES DE SANTE (PACES),07,71
2101988,LETTRES- LANGUES- ARTS : LANGUES- LITTERATURES ETRANGERES,67,64
2100800,SCIENCES HUMAINES ET SOCIALES : HISTOIRE DE L'ART,21,27
2226070,ARTS- LETTRES- LANGUES : LINGUISTIQUE,AA,34
2500245,TOURISME,29,38
2500241,RISQUES ET ENVIRONNEMENT,04,29
2500113,SCIENCES DES RELIGIONS ET SOCIETES,66,31
9093361,AUTRES DIPLOMES EN PLURI DROIT- SCIENCES POLITIQUES - BAC+3,90,61
9090366,AUTRES DIPLOMES EN PLURI SCIENCES HUMAINES ET SOCIALES - BAC A BAC+3,90,66
9170306,BACHELORS OF EN SCIENCES DE LA VIE- BIOLOGIE- SANTE - BAC A BAC+3,91,06
9020266,CERTIFICATS D'ECOLES EN PLURI SCIENCES HUMAINES ET SOCIALES - BAC A BAC+2,90,66
9170170,BACHELORS OF EN PLURI SCIENCES - BAC A BAC+1,91,70
